,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
1556,1955,Asma' bint Murshida bin Jabir ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Murshida bin Jabr of B.Haritha,Salama bint Mas'ud bin Ka'b [1974],al-Dahhak bin Khalifa [1901],,,,,,,,,,,,Thabit bin al-Dahhak bin Khalifa [1902] , Abu Jubayra bin al-Dahhak [1903] , Abu Bakr, Thubayta bint al-Dahhak [1876] , 'Umar, Bakra, Hammada, Safiyya,,,,,'Amira bint Murshida bin Jabir [1956],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1557,1956,'Amira bint Murshida bin Jabir ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Murshida bin Jabr of B.Haritha,Salama bint Mas'ud bin Ka'b [1974],Suwayd bin al-Nu'man [1924],,,,,,,,,,,,,,,,,,,,,,,,Asma' bint Murshida bin Jabir [1955],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1558,1957,Umm al-Dahhak bint Mas'ud ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Mas'ud of  B.Haritha b. al-Harith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , khaybar [khaybar],,,,,,,,,,,,,,,,,,,,,,
1559,1958,Umm Suhayl bint Abi Hathma ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Abu Hathma bin Sa'ida [1821],Hujj bint 'Umayr of B.Haritha,Azib bin al-Harith [1925],,,,,,,,,,,,,,,,,,,,,,,,Sahl bin Abi Hathma [1822] , Umm Damra, 'Amira bint Abi Hathma [1969] , Umayma bint Abi Hathma [1959],,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1560,1959,Umayma bint Abi Hathma ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Abu Hathma bin Sa'ida [1821],Hujj bint 'Umayr of B.Haritha,Hilal bin al-Harith, Abu Sindar bin Al-Husayn al-Aslami,,,,,,,,,,,,,,,,,,,,,,,Sahl bin Abi Hathma [1822] , Umm Damra, 'Amira bint Abi Hathma [1969] , Umm Suhayl bint Abi Hathma [1958],,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1561,1960,Umama bint Khadij bin Rafi' ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Khadij bin Rafi' [1985],Halima bint 'Urwa of B.Bayada of B.al-Khazraj,Usayd bin Zuhayr bin Rafi' [1988],,,,,,,,,,,,Thabit, Muhammad, Umm Khultum, Umm al-Hasan,,,,,,,,,Rafi' bin Khadij bin Rafi' [1986],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1562,1961,Umama bint Rafi' ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Rafi' bin 'Adi b. Zayd,,,,,,,,,,,,,,,,,,,,,,,,,,Khadij bin Rafi' [1985] , Zuhayr bin Rafi' [1987],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1563,1962,'Amira bint Zuhayr bin Rafi' ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Zuhayr bin Rafi' [1987],Fatima bint Bishr of B.Quaqal,Mirba' bin Qayzi [1914],,,,,,,,,,,,Zayd bin Mirba' bin Qayzi [1991] , Murara bin Mirba' bin Qayzi [1992] , 'Abdur Rahman bin Mirba' bin Qayzi [1993] , 'Abdullah bin Mirba' bin Qayzi [1994],,,,,,,,,Usayd bin Zuhayr bin Rafi' [1988] , Anas bin Zuhayr bin Rafi' [1989] , Rafi' bin Zuhayr bin Rafi' [1990],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1564,1963,Layla bint Nahik bin Asaf ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Nahik bin Asaf b. 'Adi,Salma bint Aslam [1973],Sahl bin al-Rabi' bin 'Amr [1824],,,,,,,,,,,,,,,,,,,,,,,,'Abbad, 'Abdullah, Abu Ma'qil bin Nahik bin Asaf [1933],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1565,1964,Thubayta bint al-Rabi' bin 'Amr ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,al-Rabi' bin 'Amr b. Zayd,Sahla bint Imru'l-Qays of B.Haritha,Aus bin Qayzi bin 'Amr [1981],,,,,,,,,,,,'Abdullah bin Aus bin Qayzi [1982] , Kubbatha bin Aus bin Qayzi [1983] , 'Urraba bin Aus bin Qayzi [1984],,,,,,,,,,Sahl bin al-Rabi' bin 'Amr [1824],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1566,1965,Jamila bint Sayfi bin 'Amr ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sayfi bin 'Amr b. Zayd,al-Nuwwar bint Qays bin Ludhan of B.Haritha,'Atik b. Qays b. Haysha [1938],,,,,,,,,,,,Jabir bin 'Atik [1730] , Basheer bin 'Atik [1734] , al-Harith bin 'Atik [1939],,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1567,1966,Umayma bint 'Uqba ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Uqba bin 'Amr b. 'Adi,Umm 'Umayr bint 'Uqba of B. Tamim,Sahl bin 'Atik [357],,,,,,,,,,,,Umm Sahl bint Sahl bin 'Atik [1286],,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1568,1967,Umm 'Amir bint Sulaym ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sulaym b. Duba' b. 'Amir,Su'ad bint 'Amir,Usayd bin Sa'ida [1823],,,,,,,,,,,,Yazid bin Usayd bin Sa'ida,,,,,,,,,,,,'Ubaid al-Sahham bin Sulaym [1927],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1569,1968,Jamila bint Sinan ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sinan b. Tha'laba [1928],,'Ubaid al-Sahham bin Sulaym [1927],,,,,,,,,,,,Thabit,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1570,1969,'Amira bint Abi Hathma ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Abu Hathma bin Sa'ida [1821],Umm al-Rubayyi' bint Aslam [1970],Yazid bin Usayd bin Sa'ida, Yazid bin Burdha' bin Zayd [688],,,,,,,,,,,,,,,,,,,,,,,Sahl bin Abi Hathma [1822] , Umm Damra, Umm Suhayl bint Abi Hathma [1958] , Umayma bint Abi Hathma [1959],,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1571,1970,Umm al-Rubayyi' bint Aslam ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aslam bin Harish b. 'Adi,Su'ad bint Rafi' bin 'Abd 'Amr [1273],Abu Hathma bin Sa'ida [1821],,,,,,,,,,,,Sahl bin Abi Hathma [1822] , 'Amira bint Abi Hathma [1969] , Umm Damra,,,,,,,,,,Salma bin Aslam [1811] , Suhayma bint Aslam [1971] , Lubaba bint Aslam [1972] , Salma bint Aslam [1973],,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1572,1971,Suhayma bint Aslam ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aslam bin Harish b. 'Adi,Su'ad bint Rafi' bin 'Abd 'Amr [1273],Muhaysa bin Mas'ud [1920],,,,,,,,,,,,Sa'd bin Muhaysa bin Mas'ud [1923],,,,,,,,,,,,Salma bin Aslam [1811] , Umm al-Rubayyi' bint Aslam [1970] , Lubaba bint Aslam [1972] , Salma bint Aslam [1973],,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1573,1972,Lubaba bint Aslam ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aslam bin Harish b. 'Adi,Su'ad bint Rafi' bin 'Abd 'Amr [1273],Zayd bin Sa'd of B.'Abdul Ashhal,,,,,,,,,,,,,,,,,,,,,,,,Salma bin Aslam [1811] , Umm al-Rubayyi' bint Aslam [1970] , Suhayma bint Aslam [1971] , Salma bint Aslam [1973],,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1574,1973,Salma bint Aslam ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aslam bin Harish b. 'Adi,Umm Khalid bin 'Ady of B.Haritha,Nahik bin Asaf bin 'Ady,,,,,,,,,,,,,,,,,,,,,,,,Salma bin Aslam [1811] , Umm al-Rubayyi' bint Aslam [1970] , Suhayma bint Aslam [1971] , Lubaba bint Aslam [1972],,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1575,1974,Salama bint Mas'ud bin Ka'b ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Mas'ud bin Ka'b,Adam bint al-Jamuh bin Zayd [1077],Murshida bin Jabr of B.Haritha,,,,,,,,,,,,Asma' bint Murshida bin Jabir [1955] , 'Amira bint Murshida bin Jabir [1956],,,,,,,,,,,Muhaysa bin Mas'ud [1920] , Huwaysa bin Mas'ud [1921] , al-Ahwas bin Mas'ud [1922],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1576,1975,Lubna bint Qayzi bin Qays ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Qayzi bin Qays [1995],Umm Habib bint Qurd of B.Haritha,Abu Thabit bin 'Abd 'Amr bin Qayzi [1912] , Abu Ahmed bin Qays [1998],,,,,,,,,,,,,,,,,,,,,,,'Abdullah bin Qayzi bin Qays [1996] , 'Abdur Rahman bin Qayzi bin Qays [1997] , 'Uqba bin Qayzi bin Qays [1911],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1577,1976,'Amira bint Sa'd ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sinan b. Tha'laba [1928],Umm 'Amir bint Sulaym [1967],Kubbatha bin Aus bin Qayzi [1983],,,,,,,,,,,,,,,,,,,,,,,,Mas'ud bin ('Abd) Sa'd [1818] , Ma'bad bin ('Abd) Sa'd [1819],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1578,1977,al-Waqsa bint Mas'ud bin 'Amir ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Mas'ud bin 'Amir b. 'Adi,Kabsha bint Aws bin 'Adi [1783],al-Nu'man bin Malik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1579,1978,al-Nuwwar bint Qays bin al-Harith ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Qays bin al-Harith [1926],,Zayd bin Nuwayra bin al-Harith [1917],,,,,,,,,,,,Azib,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1580,1979,Umm 'Abdullah bint 'Azib ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Azib bin al-Harith [1925],Umm Habiba bint Abi Habiba/Umm Khalid bint Thabit,,,,,,,,,,,,,,,,,,,,,,,,,al-Bara' bin Azib bin al-Harith [400] , 'Ubaid bin Azib bin al-Harith [401],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1581,1980,al-Nuwwar bint Qays ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Qays b. Ludhan b. Tha'laba,,Sayfi bin 'Amr of B.Haritha,,,,,,,,,,,,Jamila bint Sayfi bin 'Amr [1965],,,,,,,,,,,,Qayzi bin Qays [1995] , Abu Ahmed bin Qays [1998] , Sulaym bin Qays bin Ludhan [1999],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1582,1981,Aus bin Qayzi bin 'Amr ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Qayzi bin 'Amr b. Zayd,,Thubayta bint al-Rabi' bin 'Amr [1964],,,,,,,,,,,,'Abdullah bin Aus bin Qayzi [1982] , Kubbatha bin Aus bin Qayzi [1983] , 'Urraba bin Aus bin Qayzi [1984],,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1583,1982,'Abdullah bin Aus bin Qayzi ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aus bin Qayzi bin 'Amr [1981],Thubayta bint al-Rabi' bin 'Amr [1964],,,,,,,,,,,,,,,,,,,,,,,,,Kubbatha bin Aus bin Qayzi [1983] , 'Urraba bin Aus bin Qayzi [1984],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1584,1983,Kubbatha bin Aus bin Qayzi ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aus bin Qayzi bin 'Amr [1981],Thubayta bint al-Rabi' bin 'Amr [1964],'Amira bint Sa'd [1976],,,,,,,,,,,,,,,,,,,,,,,,'Abdullah bin Aus bin Qayzi [1982] , 'Urraba bin Aus bin Qayzi [1984],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1585,1984,'Urraba bin Aus bin Qayzi ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Aus bin Qayzi bin 'Amr [1981],Thubayta bint al-Rabi' bin 'Amr [1964],,,,,,,,,,,,,Sa'id,,,,,,,,,,,,'Abdullah bin Aus bin Qayzi [1982] , Kubbatha bin Aus bin Qayzi [1983],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,,
1586,1985,Khadij bin Rafi' ,Comp.(RA) [1st Generation],(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Rafi' bin 'Adi b. Zayd,,Halima/Jamila bint 'Urwa bin Mas'ud [1571],,,,,,,,,,,,Rafi' bin Khadij bin Rafi' [1986] , Umama bint Khadij bin Rafi' [1960],,,,,,,,,,,Zuhayr bin Rafi' [1987] , Umama bint Rafi' [1961],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Rafi' bin Khadij bin Rafi' [1986],,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,,
1587,1986,Rafi' bin Khadij bin Rafi' ,Comp.(RA) [1st Generation],(Medina),~73 AH (Medina)[ Natural ],Medina,[],,,73,,Medina,Natural,Khadij bin Rafi' [1985],Halima/Jamila bint 'Urwa bin Mas'ud [1571],,,,,,,,,,,,,'Abdur Rahman bin Rafa'y bin Khdyj [12821] , Ibrahim bin Rafi' bin Khadayj [12670] , Rfa'h bin Rafa'i bin Khdyj [11506] , 'Abdul Hameed bin Rafa'y bin Khdyj [12842] , 'Ubaidullah bin Rafa'y bin Khdyj [12818] , Muhammad bin Rafa'y bin Khdyj [12907] , 'Abdullah bin Rafi'a bin Khadayj [12795],,,,,,Umama bint Khadij bin Rafi' [1960],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] , Khadij bin Rafi' [1985] , Zuhayr bin Rafi' [1987],,,,,,,,,,,,,,,,,,,,,,'Abdur Rahman bin Rafa'y bin Khdyj [12821] , Rfa'h bin Rafa'i bin Khdyj [11506] , Hryr bin 'Abdur Rahman bin Rafa'i [12555] , Ata'a bin S'hyb al-Ansari [11527] , al-Sa'ib bin Yazid bin Akht Namr [3048] , Sa'id ibn al-Musayyib [11002] , Sulayman ibn Yasar [11005] , Hnzlh bin Qays bin 'Amr [11503] , Nafie' [11014] , Nafi' bin Jubayr bin Mut'im [11059] , Muhammad bin Yahya bin Hiban [11222] , ,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud] , Khandaq [Khandaq] , Ridwan [Ridwan],,,,,,,,,,,,,,,,,,,,,
1588,1987,Zuhayr bin Rafi' ,Comp.(RA) [1st Generation],(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Rafi' bin 'Adi b. Zayd,,Fatima bint Bishr of B.Quaqal,,,,,,,,,,,,Usayd bin Zuhayr bin Rafi' [1988] , Anas bin Zuhayr bin Rafi' [1989] , Rafi' bin Zuhayr bin Rafi' [1990] , 'Amira bint Zuhayr bin Rafi' [1962],,,,,,,,,Khadij bin Rafi' [1985] , Umama bint Rafi' [1961],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Rafi' bin Khadij bin Rafi' [1986],,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Aqaba 2 [Aqaba%202] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,
1589,1988,Usayd bin Zuhayr bin Rafi' ,Comp.(RA) [1st Generation],(Medina),>60 AH (Medina)[ Natural ],Medina,[],,,60,,Medina,Natural,Zuhayr bin Rafi' [1987],Fatima bint Bishr of B.Quaqal,Umama bint Khadij bin Rafi' [1960] , Zaynab bint Wabra, Umm Salma bint 'Abdullah bin Abi Ma'qil, Umm Walad,,,,,,,,,Rafa'i bin Asyd bin Zuhyr [12090] , Thabit, Muhammad, Umm Khultum, Umm al-Hasan, Sa'd, 'Abdur Rahman, 'Uthman, Umm Rafi', 'Abdullah, 'Ubaidullah,,Anas bin Zuhayr bin Rafi' [1989] , Rafi' bin Zuhayr bin Rafi' [1990] , 'Amira bint Zuhayr bin Rafi' [1962],,,,,,,,,Medina,,,,,Muhammad (saw) [1] , Rafi' bin Khadij bin Rafi' [1986],,,,,,,,,,,,,,,,,,,,,,,Rafa'i bin Asyd bin Zuhyr [12090] , Ziyad Abu al-Abrad al-Madni [12109] , 'Ikrama bin Khalid bin Salma [21944],,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,,
1590,1989,Anas bin Zuhayr bin Rafi' ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Zuhayr bin Rafi' [1987],Fatima bint Bishr of B.Quaqal,,,,,,,,,,,,,Thabit,,,,,,,,,,,,Usayd bin Zuhayr bin Rafi' [1988] , Rafi' bin Zuhayr bin Rafi' [1990] , 'Amira bint Zuhayr bin Rafi' [1962],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Husayn bin Thabit,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,,
